S0701_C01_001E,S0701_C01_005E,S0701_C01_007E,S0701_C01_011E,S0701_C01_041E,S0701_C01_035E,S0701_C01_037E,state,year,B06009_005E
579102.0,82440.0,69973.0,37.0,38274.0,111830.0,67108.0,56,2015,67108.0
,,,,,,,72,2015,
4801599.0,624472.0,644006.0,39.2,409390.0,1018063.0,504626.0,01,2015,504626.0
727862.0,118778.0,93326.0,33.8,43007.0,128052.0,87869.0,02,2015,87869.0
6747595.0,914761.0,842972.0,37.9,484395.0,1110871.0,788933.0,04,2015,788933.0
2938341.0,385391.0,383582.0,38.4,257825.0,678452.0,278975.0,05,2015,278975.0
38675135.0,5832712.0,5243141.0,36.6,2899797.0,5430081.0,5285754.0,06,2015,5285754.0
5393067.0,827137.0,711031.0,36.8,336693.0,796984.0,909032.0,08,2015,909032.0
935813.0,124348.0,129436.0,40.1,62202.0,194810.0,117581.0,10,2015,117581.0
663006.0,152487.0,77353.0,34.1,33456.0,82181.0,112629.0,11,2015,112629.0
3554844.0,442776.0,537158.0,41.0,223355.0,678916.0,535933.0,09,2015,535933.0
20068392.0,2593253.0,2743332.0,42.2,1656712.0,4201879.0,2620339.0,12,2015,2620339.0
10088525.0,1383268.0,1401045.0,36.8,733762.0,1879302.0,1244449.0,13,2015,1244449.0
1635366.0,216810.0,198964.0,36.2,128886.0,292667.0,189566.0,16,2015,189566.0
1414355.0,216396.0,174599.0,38.2,81483.0,267568.0,205033.0,15,2015,205033.0
12706393.0,1773212.0,1744768.0,38.1,812879.0,2314192.0,1757697.0,17,2015,1757697.0
6540691.0,842022.0,878429.0,38.0,477201.0,1496775.0,697223.0,18,2015,697223.0
3081446.0,392752.0,399872.0,38.7,226838.0,664912.0,377035.0,19,2015,377035.0
2875640.0,384499.0,362357.0,36.8,201498.0,501278.0,384495.0,20,2015,384495.0
4373403.0,561502.0,601478.0,39.3,370733.0,1002541.0,406865.0,21,2015,406865.0
4612024.0,670600.0,597756.0,36.8,364699.0,1056533.0,470739.0,22,2015,470739.0
1317444.0,151964.0,196149.0,44.9,111233.0,314332.0,187513.0,23,2015,187513.0
5934005.0,834133.0,868662.0,38.8,329636.0,1029325.0,866352.0,24,2015,866352.0
6725678.0,941776.0,976402.0,39.8,453951.0,1184423.0,1086715.0,25,2015,1086715.0
9811416.0,1221558.0,1375302.0,40.2,764638.0,1979472.0,1145546.0,26,2015,1145546.0
5419822.0,745711.0,744590.0,38.4,347537.0,941170.0,847584.0,27,2015,847584.0
2951081.0,378612.0,375436.0,37.7,256628.0,603335.0,264865.0,28,2016,264865.0
6022165.0,799577.0,792112.0,38.9,455492.0,1265386.0,729511.0,29,2016,729511.0
1032794.0,126836.0,127833.0,40.5,88252.0,206415.0,148944.0,30,2016,148944.0
1882987.0,255384.0,228611.0,36.8,122162.0,328348.0,261931.0,31,2016,261931.0
2907243.0,424305.0,391041.0,38.3,194624.0,585057.0,308547.0,32,2016,308547.0
1322101.0,160594.0,202258.0,43.2,85757.0,256245.0,213461.0,33,2016,213461.0
8852286.0,1157062.0,1294506.0,39.9,523239.0,1706073.0,1460518.0,34,2016,1460518.0
2057857.0,276979.0,249585.0,38.2,170445.0,370508.0,215691.0,35,2016,215691.0
19526443.0,2886788.0,2708708.0,38.8,1307583.0,3574814.0,2749619.0,36,2016,2749619.0
10032407.0,1321286.0,1385796.0,39.2,794667.0,1775886.0,1345615.0,37,2016,1345615.0
746271.0,116058.0,87234.0,35.7,44467.0,134178.0,107578.0,38,2016,107578.0
11481752.0,1500872.0,1546555.0,39.8,836809.0,2639028.0,1362205.0,39,2016,1362205.0
3873232.0,536769.0,480811.0,36.9,288993.0,802529.0,432922.0,40,2016,432922.0
4052221.0,573033.0,514900.0,39.5,307127.0,655893.0,572508.0,41,2016,572508.0
12645493.0,1674043.0,1737627.0,41.1,895444.0,3132444.0,1676971.0,42,2016,1676971.0
1045691.0,142792.0,146633.0,40.6,77129.0,204045.0,151195.0,44,2016,151195.0
4903788.0,646998.0,643464.0,39.6,403364.0,981669.0,591086.0,45,2016,591086.0
853832.0,111536.0,101899.0,37.4,58044.0,163910.0,111002.0,46,2016,111002.0
6580953.0,886029.0,893927.0,39.1,536178.0,1465937.0,756055.0,47,2016,756055.0
27472626.0,4061590.0,3500664.0,34.9,1827186.0,4474711.0,3362678.0,48,2016,3362678.0
619387.0,71885.0,86724.0,43.5,49679.0,128767.0,92871.0,50,2016,92871.0
3002244.0,448034.0,312852.0,31.3,178972.0,404605.0,381130.0,49,2016,381130.0
8312297.0,1152326.0,1164976.0,38.7,521983.0,1372836.0,1241751.0,51,2016,1241751.0
7202119.0,1074803.0,951227.0,38.1,435976.0,1111786.0,1098509.0,53,2016,1098509.0
1810709.0,216104.0,243424.0,42.7,147258.0,512228.0,162243.0,54,2016,162243.0
5712104.0,730022.0,781660.0,39.9,412946.0,1222607.0,758503.0,55,2016,758503.0
577567.0,80974.0,69086.0,37.9,42487.0,114624.0,67845.0,56,2016,67845.0
,,,,,,,72,2016,
4810126.0,629565.0,645623.0,39.4,402069.0,1011236.0,506680.0,01,2016,506680.0
731760.0,121629.0,93124.0,34.0,40098.0,133928.0,90861.0,02,2016,90861.0
6851836.0,929487.0,846513.0,38.0,484146.0,1105497.0,835779.0,04,2016,835779.0
2949650.0,382578.0,379035.0,38.5,252419.0,681969.0,282608.0,05,2016,282608.0
38783436.0,5902164.0,5198221.0,36.8,2806717.0,5390935.0,5426164.0,06,2016,5426164.0
5476928.0,837560.0,719910.0,37.1,344915.0,822144.0,934273.0,08,2016,934273.0
942073.0,128569.0,125863.0,41.1,60755.0,212474.0,121717.0,10,2016,121717.0
672022.0,154662.0,77605.0,34.2,32318.0,85248.0,115097.0,11,2016,115097.0
3541758.0,436596.0,524729.0,41.3,216171.0,678776.0,541369.0,09,2016,541369.0
20401575.0,2660916.0,2755495.0,42.5,1648377.0,4249733.0,2675907.0,12,2016,2675907.0
10179860.0,1403742.0,1403862.0,37.0,734618.0,1884080.0,1270275.0,13,2016,1270275.0
1663756.0,220555.0,198153.0,36.4,125273.0,302866.0,203363.0,16,2016,203363.0
1410258.0,205844.0,177648.0,39.4,89216.0,277743.0,211850.0,15,2016,211850.0
12654142.0,1765751.0,1716447.0,38.4,792896.0,2250392.0,1813840.0,17,2016,1813840.0
6554084.0,857485.0,864269.0,38.1,471559.0,1481882.0,716293.0,18,2016,716293.0
3097283.0,395052.0,391352.0,38.5,213972.0,649532.0,398242.0,19,2016,398242.0
